"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"476",12,181,1.13125e-05,23.1049723756906,NA,"CanopyHeight","Microcebus_lehilahytsara","Betaolana_3","Betaolana",3
"477",13,201,1.25625e-05,24.3283582089552,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodivoara_5","Ambodivoara",5
"478",14,175,1.09375e-05,23.7142857142857,NA,"CanopyHeight","Microcebus_lehilahytsara","Betaolana_2","Betaolana",2
"479",15,230,1.4375e-05,20.6086956521739,NA,"CanopyHeight","Microcebus_lehilahytsara","Betaolana_1","Betaolana",1
"480",16,180,1.125e-05,24.6277777777778,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodivoara_4","Ambodivoara",4
"481",17,134,8.375e-06,25.6417910447761,NA,"CanopyHeight","Microcebus_lehilahytsara","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"482",18,164,1.025e-05,20.8536585365854,NA,"CanopyHeight","Microcebus_lehilahytsara","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"483",19,188,1.175e-05,23.1648936170213,NA,"CanopyHeight","Microcebus_lehilahytsara","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"484",20,164,1.025e-05,23.5487804878049,NA,"CanopyHeight","Microcebus_lehilahytsara","Befamatra_2","Befamatra",2
"485",21,235,1.46875e-05,25.0851063829787,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodimandresy_1","Ambodimandresy",1
"486",22,263,1.64375e-05,25.7186311787072,NA,"CanopyHeight","Microcebus_lehilahytsara","Antanambe_2","Antanambe",2
"487",23,189,1.18125e-05,23.5238095238095,NA,"CanopyHeight","Microcebus_lehilahytsara","Antanambe_3","Antanambe",3
"488",24,143,8.9375e-06,22.9160839160839,NA,"CanopyHeight","Microcebus_lehilahytsara","Androfiabe_2","Androfiabe",2
"489",25,162,1.0125e-05,21.5740740740741,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodihasina_2","Ambodihasina",2
"490",26,142,8.875e-06,24.3450704225352,NA,"CanopyHeight","Microcebus_lehilahytsara","Antanambe_1","Antanambe",1
"491",27,231,1.44375e-05,23.7489177489177,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambavala_1","Ambavala",1
"492",28,207,1.29375e-05,23.1400966183575,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambavala_2","Ambavala",2
"493",29,225,1.40625e-05,24.4755555555555,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambavala_3","Ambavala",3
"494",1,1478,9.2375e-05,22.2171853856563,NA,"CanopyHeight","Propithecus_candidus","Ambodivoara_1","Ambodivoara",1
"495",2,1288,8.05e-05,25.0923913043478,NA,"CanopyHeight","Propithecus_candidus","Ambodihasina_1","Ambodihasina",1
"496",3,1313,8.20625e-05,21.3076923076923,NA,"CanopyHeight","Propithecus_candidus","Ambodimandresy_2","Ambodimandresy",2
"497",4,1372,8.575e-05,24.2215743440233,NA,"CanopyHeight","Propithecus_candidus","Ambodivoara_3","Ambodivoara",3
"498",5,1051,6.56875e-05,21.9105613701237,NA,"CanopyHeight","Propithecus_candidus","Ambodivoara_2","Ambodivoara",2
"499",6,1590,9.9375e-05,22.0792452830189,NA,"CanopyHeight","Propithecus_candidus","Androfiabe_1","Androfiabe",1
"500",7,1198,7.4875e-05,22.9023372287145,NA,"CanopyHeight","Propithecus_candidus","Ambodimandresy_3","Ambodimandresy",3
"501",8,1235,7.71875e-05,21.0485829959514,NA,"CanopyHeight","Propithecus_candidus","Ambodihasina_3","Ambodihasina",3
"502",9,1234,7.7125e-05,16.5777957860616,NA,"CanopyHeight","Propithecus_candidus","Befamatra_1","Befamatra",1
"503",10,1165,7.28125e-05,21.5158798283262,NA,"CanopyHeight","Propithecus_candidus","Befamatra_3","Befamatra",3
"504",11,1319,8.24375e-05,25.1834723275208,NA,"CanopyHeight","Propithecus_candidus","Androfiabe_3","Androfiabe",3
"505",12,1344,8.4e-05,24.1436011904762,NA,"CanopyHeight","Propithecus_candidus","Betaolana_3","Betaolana",3
"506",13,1292,8.075e-05,23.1524767801858,NA,"CanopyHeight","Propithecus_candidus","Ambodivoara_5","Ambodivoara",5
"507",14,1246,7.7875e-05,22.7174959871589,NA,"CanopyHeight","Propithecus_candidus","Betaolana_2","Betaolana",2
"508",15,1671,0.0001044375,22.2537402752843,NA,"CanopyHeight","Propithecus_candidus","Betaolana_1","Betaolana",1
"509",16,1378,8.6125e-05,22.7024673439768,NA,"CanopyHeight","Propithecus_candidus","Ambodivoara_4","Ambodivoara",4
"510",17,1061,6.63125e-05,24.2252591894439,NA,"CanopyHeight","Propithecus_candidus","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"511",18,1208,7.55e-05,23.0604304635762,NA,"CanopyHeight","Propithecus_candidus","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"512",19,1315,8.21875e-05,21.4235741444867,NA,"CanopyHeight","Propithecus_candidus","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"513",20,1233,7.70625e-05,23.9813463098135,NA,"CanopyHeight","Propithecus_candidus","Befamatra_2","Befamatra",2
"514",21,1509,9.43125e-05,23.8124585818423,NA,"CanopyHeight","Propithecus_candidus","Ambodimandresy_1","Ambodimandresy",1
"515",22,1999,0.0001249375,24.7963981990995,NA,"CanopyHeight","Propithecus_candidus","Antanambe_2","Antanambe",2
